time,ant,ejb,jpa,log4j,slf4j,guava,mockito,easymock,logback,jodatime,# osgi stuff,osgi,osgi-bundle,apache-felix,equinox,knopflerfish,jboss,cxf,apache-karaf,karaf,glassfish,bnd,aries,eclipse-gemini,eclipse-ecf,amdatu,pax-web,pax,aiolos,junit,junit4,# spring parts,spring,spring-mvc,spring-boot,spring-io,spring-xd,spring-cloud,spring-data,spring-batch,spring-security,spring-integration,spring hateoas,spring-social,spring-amqp,spring-webflow,# application servers,tomcat,jsp,jetty,jonas,geronimo,jboss-as-7,tomee,resin,weblogic,websphere,# apache commons,apache-commons-daemon,apache-commons-dateutils,apache-commons-dbcp,apache-commons-dbutils,apache-commons-digester,apache-commons-email,apache-commons-exec,apache-commons-fileupload,apache-commons-httpclient,apache-commons-io,apache-commons-jci,apache-commons-lang,apache-commons-lang3,apache-commons-logging,apache-commons-math,apache-commons-net,apache-commons-pool,apache-commons-scxml,apache-commons-vfs,apache-commons-csv,apache-commons,apache-commons-beanutils,apache-commons-cli,apache-commons-codec,apache-commons-collection,apache-commons-compress,apache-commons-config
2008-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-14,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-21,4,,,,,,,,,,,2,,,,,1,1,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,3,2,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-28,6,1,,1,,,,,,,,3,,,,,1,1,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,6,4,,,,,,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-04,7,1,1,2,,,,,,,,4,,,,,2,1,,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,6,8,,,,,,1,1,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2008-09-11,12,1,2,3,,,,,,,,4,,,,,4,2,,,,,,,,,,,,6,,,8,,,,,,,,,,,,,,,11,12,,,,,,1,3,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2008-09-18,21,3,8,8,,,,1,,,,5,,,,,6,2,,,1,,,,,,,,,10,,,17,,,,,,,,,,,,,2,,26,21,2,,,,,1,3,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2008-09-25,25,8,13,8,,,,2,,,,6,,,,,15,2,,,3,,,,1,,,,,17,,,35,,,,,,,,1,,,,,3,,46,36,6,,,,,1,5,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2008-10-02,34,15,18,12,,,,2,,,,6,,,,,17,3,,,7,,,,1,,,,,21,1,,45,3,,,,,,,2,,,,,3,,64,55,6,,1,,,2,7,18,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2008-10-09,47,18,26,16,,,,2,2,,,7,,,,,20,3,,,9,,,,1,,,,,29,1,,59,6,,,,,,,3,,,,,4,,75,65,7,,1,,,2,8,22,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2008-10-16,54,19,29,19,,,,2,2,,,8,,,,,26,3,,,9,,,,1,,,,,37,1,,64,6,,,,,,,3,,,,,4,,86,77,8,,2,,,2,9,25,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
2008-10-23,59,20,33,22,,,,2,2,,,9,,,,,34,3,,,10,,,,1,,,,,41,1,,75,6,,,,,,,4,,,,,5,,96,94,8,,2,,,2,9,27,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,
2008-10-30,71,21,35,22,,,,2,2,,,9,,,,,38,3,,,10,,,,1,,,,,44,1,,90,8,,,,,,,5,,,,,6,,104,112,8,,2,,,2,11,31,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,
2008-11-06,77,24,39,22,,,,2,2,,,10,,,,,43,3,,,10,,,,1,,,,,52,1,,99,8,,,,,,,5,,,,,6,,110,122,10,,2,,,2,12,33,,,,,,,,,2,2,,,,,,,,,,1,,,,,,,,
2008-11-13,82,25,45,24,,,,2,2,,,11,,,,,48,3,,,11,,,,1,,,,,54,1,,105,10,,,,,,,6,,,,,6,,115,135,11,,2,,,2,13,36,,,,1,,,,,2,2,,,,,,,,,,1,,,,,,,,
2008-11-20,89,25,48,26,,,,2,2,1,,12,,,,,49,4,,,11,,,,1,,,,,56,2,,115,10,,,,,,,6,1,,,,7,,120,151,12,,2,,,2,15,42,,,,1,,,,,2,2,,,,,,,,,,1,,1,,,,,,
2008-11-27,96,27,56,28,,,,2,2,1,,13,,1,,,55,4,,,11,,,,1,,,,,60,2,,121,10,,,,,,,6,1,,,,7,,128,160,12,,2,,,2,16,45,,,,1,,,,,2,2,,,,,,,,,,1,,1,,,,,,
2008-12-04,98,28,61,28,,,,2,2,1,,13,,1,,,56,4,,,12,,,,1,,,,,67,2,,133,11,,,,,,,6,1,,,,8,,135,174,13,,2,,,2,18,47,,,,1,,,,,2,3,,,,,,,,,,1,,1,,,,,,
2008-12-11,106,31,67,30,1,,,2,3,1,,13,,1,,,60,4,,,14,,,,1,,,,,69,2,,139,12,,,,,,,6,2,,,,8,,144,189,13,,3,,,2,18,49,,,,1,,,,,2,3,,,,,,,,,,1,,2,,,,,,
